feature,mean_abs_shap,pct_total,type
NDBI,0.724054,20.531319,standard
Relative_Humidity,0.44901785,12.732379,standard
Relative_Wealth_Index,0.433113,12.28138,NOVEL
NO2_Emissions,0.3400483,9.64243,NOVEL
MODIS_LST,0.20490775,5.8103766,standard
Soil_Moisture,0.19015135,5.3919435,standard
Dist_Water,0.18747889,5.316163,NOVEL
Dist_Park,0.1439933,4.083083,NOVEL
NDVI,0.13260654,3.7601993,standard
Pop_Density,0.1149523,3.2595947,standard
Wind_Speed,0.09868094,2.798203,standard
Dist_to_RWI_Node,0.09572586,2.7144084,NOVEL
Albedo,0.083201736,2.3592734,NOVEL
Dist_Highway,0.07070954,2.0050442,NOVEL
Street_Density,0.06936903,1.9670327,NOVEL
Air_Temp_C,0.06612113,1.8749349,standard
Building_Density_Ratio,0.06129776,1.7381631,NOVEL
SVF_Proxy,0.03171434,0.8992938,NOVEL
Surface_Pressure_hPa,0.015673166,0.44442928,standard
Height_Variability,0.013765908,0.3903469,NOVEL
